username,userid,profile_location,created_at,text,retweet_count,source,coordinates
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,1/20/2023 22:19,"@SpeakerMcCarthy You are overlooking the Trump border policies, which resulted in children being tortured, and atte… https://t.co/uBtqphUNwT",0,Twitter Web App,
Patricia Layden,443953828,"SeaTac, WA",1/20/2023 22:17,I just signed a @commoncause petition: Twitter &amp; Facebook must combat disinformation -- and hold Donald Trump to th… https://t.co/X0wb69CWVX,0,Twitter for iPad,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,1/20/2023 22:15,"@SpeakerMcCarthy More illegal drugs have been seized at the border under Biden than under Trump, and Republican gov… https://t.co/HPow9cp1bA",0,Twitter Web App,
Katie H 🗻🌈🐕🐈🎵🎉💖👄 🙏💙🍰,1.03639E+18,"Kirkland, WA",1/20/2023 22:15,@LebergerDavid I can't stand watching his entitled  arrogant traitor face while he thinks he is interviewing as a r… https://t.co/ywW36LCQGe,0,Twitter for Android,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,1/20/2023 22:14,"@SpeakerMcCarthy 25% of the debt was incurred under the Trump administration, and the deficit has been reduced under Biden.",0,Twitter Web App,
Irene Suver,24215821,"Seattle, Washington USA",1/20/2023 22:12,Was Nearly 25% of the US National Debt Incurred During Trump Administration? (Yes) #GOP #MAGA https://t.co/I9DCibEwYF,0,Twitter Web App,
KScores,36134023,Seattle ,1/20/2023 22:11,@ElunMask23 @GregAbbott_TX Trump didn't create anything. The pandemic did. Governors decided to shut down before tr… https://t.co/QDmplVKci6,0,Twitter Web App,
NancoixSeattle,53319232,"Seattle, WA",1/20/2023 22:08,"@SpeakerMcCarthy Hey Kev, how many times did you vote to raise debt ceiling without demand s during Trump (the guy… https://t.co/kqBnTW6aIJ",0,Twitter for iPhone,
Geek Avenger 🇺🇸🎮🏋️‍♂️🥃🐸✝️,1.44372E+18,"Seattle, WA",1/20/2023 22:07,@The_Trump_Train YES!  Breaking our laws should be a one-way ticket home!  We don't want folks that ignore our laws.  Bad foot to start on.,0,Twitter Web App,
"Stacey Dunn, Overeducated Antifascist Woman",36842122,Outside Seattle,1/20/2023 22:04,"@MarshaBlackburn More illegal crossings were stopped under Biden than under Trump, and you'll kill your own childre… https://t.co/3ihfw80WuT",0,Twitter Web App,
